Wildlife Sanctuary,Trapaeng_name,latitude,longitude
CWS,Tmor Keo,13.90848588,105.5464164
CWS,Tmor Kombao,13.91165025,105.5383802
CWS,Pring Kroam,13.91829354,105.5312126
CWS,Pring Leu,13.92005677,105.5270049
CWS,Bengtul Kroam/Beoung Tal/ Snoa Donmark,13.92281843,105.5167178
CWS,Bengtul Kandal,13.92473218,105.5181753
CWS,Bengtul Leu,13.92598125,105.5175579
CWS,Orm Palbos,13.9338985,105.5105494
CWS,Bay Som/Sam Nom,13.94944757,105.5161104
CWS,An Dung,13.93837359,105.5235935
CWS,Snor/ Snao,13.94116292,105.4681109
CWS,KonDomRey/Khun Domrey,13.94595764,105.466769
CWS,Pdao,13.961817,105.509632
CWS,Thmor Ko,13.960252,105.51716
CWS,Kom Khneng,13.963621,105.534598
CWS,Thmor Toul,13.947847,105.544132
CWS,Po,13.951286,105.533556
CWS,Roung Thom,13.967544,105.4659
CWS,Song Ke,13.980785,105.489675
CWS,ChaKrom/ Cher Krom,13.986431,105.490743
CWS,Ang Krong/ AngKrong Ler,13.974986,105.513064
CWS,Rom Phok,13.981153,105.522079
CWS,Trach,13.986503,105.54224
CWS,Ta Oan,13.927992,105.596468
CWS,Smach,13.921132,105.599778
CWS,Sileiv,13.967706,105.616949
CWS,Chep Anchanh,13.969746,105.608386
CWS,Damnak Thom Veal,13.973148,105.573969
CWS,Rouch Moan,13.913797,105.6227
CWS,Khlar Tram,13.91909,105.608646
CWS,Sang Ke,13.921634,105.603191
CWS,Chorsh Khna,14.018715,105.471813
CWS,Chher Krom Khna,14.012843,105.463478
CWS,No name,14.014914,105.494914
CWS,Reshey Prey Phneav,14.010988,105.49855
CWS,Reshey BralayTangoung,14.017538,105.489704
CWS,Prey Phneav,14.004544,105.498664
CWS,On Som,13.908188,105.523609
CWS,Kbal Domrey,13.910809,105.504589
CWS,Sre Narong,13.907743,105.448822
CWS,Russey Anchanh,13.895115,105.616769
CWS,Trey Phtouk,13.893243,105.622778
CWS,Sang Ke2,13.882798,105.611519
CWS,Phat Sondaiy,13.927389,105.474348
CWS,Prey Ormpal,13.934412,105.479135
CWS,Thnorl,13.924395,105.482851
CWS,Domnark Pongro,13.956742,105.477018
