Wildlife Sanctuary,Trapeang Name,Area,latitude,longitude
KPWS,NoName1,Tmatboey,14.01715282,104.834858
KPWS,NoName2,Tmatboey,14.01585614,104.832367
KPWS,NoName3,Tmatboey,14.03538345,104.844744
KPWS,NoName4,Tmatboey,14.01866768,104.8406254
KPWS,NoName5,Tmatboey,14.02233141,104.8436178
KPWS,NoName6,Tmatboey,14.02222999,104.8435677
KPWS,NoName7,Tmatboey,14.02999473,104.8447176
KPWS,NoName8,Tmatboey,14.03095521,104.8424403
KPWS,NoName9,Tmatboey,14.03074332,104.8427693
KPWS,NoName10,Tmatboey,14.00400521,104.8615516
KPWS,Ankoi Lay,Tmatboey,14.00380916,104.8614111
KPWS,NoName14,Tmatboey,14.01011688,104.8525106
KPWS,Romihs Sang,Tmatboey,14.0098039,104.8526255
KPWS,Rusai1,Tmatboey,14.02441808,104.8500001
KPWS,Hiut Nin Tock,Tmatboey,14.02149732,104.8480409
KPWS,Songkay2,Tmatboey,14.01871193,104.8459434
KPWS,ChunggDout,Tmatboey,14.04379922,104.8605078
KPWS,SongeKay1,Tmatboey,14.04280144,104.8617047
KPWS,Klar Tramm,Tmatboey,14.04257462,104.8617512
KPWS,Ktum1,Tmatboey,14.04144868,104.8694468
KPWS,krasang,Tmatboey,14.0362685,104.8609426
KPWS,SongKay Sno,Tmatboey,14.00876043,104.8293038
KPWS,Kok Kbong,Tmatboey,14.02707397,104.8131497
KPWS,Brasart Kok Kbong,Tmatboey,14.02706458,104.8128475
KPWS,Pin-t,Tmatboey,14.02550295,104.8124845
KPWS,Trark,Tmatboey,14.02487481,104.8129155
KPWS,Ktum2,Tmatboey,14.02343539,104.8132628
KPWS,NoName15,Tmatboey,13.985813,104.884593
KPWS,Kokpum,Tmatboey,13.985592,104.885321
KPWS,NoName16,Tmatboey,13.986675,104.883921
KPWS,Snull1,Tmatboey,14.03475104,104.8352081
KPWS,Rusai4,Tmatboey,14.03806558,104.8366726
KPWS,Snou1,Tmatboey,14.00392517,104.8404335
KPWS,Sangkay,Tmatboey,14.0072387,104.8386006
KPWS,Rusai5,Tmatboey,14.0233048,104.812011
KPWS,Snull2,Tmatboey,14.03028734,104.8038676
KPWS,Bar-bpul,Tmatboey,14.03167002,104.8050595
KPWS,Veay1,Tmatboey,14.02752609,104.8068139
KPWS,Daa-hed,Tmatboey,14.01691703,104.8187846
KPWS,Driag,Tmatboey,14.01821396,104.8220049
KPWS,CohCok,Tmatboey,14.01446172,104.8205431
KPWS,Bar-bpul2,Tmatboey,14.01379838,104.82032
