system:index,pixel_sum,area_m2,area_km2,geo_point
0_00000000000000000000,3.44E+07,3.10E+10,3.10E+16,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,3.46E+07,3.11E+10,3.11E+16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,4.04E+07,3.64E+10,3.64E+16,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000000,3.78E+07,3.40E+10,3.40E+16,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000000,4.15E+07,3.74E+10,3.74E+16,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000000,4.21E+07,3.79E+10,3.79E+16,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000000,3.62E+07,3.26E+10,3.26E+16,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000000,3.82E+07,3.44E+10,3.44E+16,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000000,3.71E+07,3.34E+10,3.34E+16,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000000,3.93E+07,3.54E+10,3.54E+16,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000000,3.33E+07,2.99E+10,2.99E+16,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000000,3.14E+07,2.83E+10,2.83E+16,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000000,3.17E+07,2.86E+10,2.86E+16,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000000,3.48E+07,3.13E+10,3.13E+16,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_00000000000000000000,3.36E+07,3.03E+10,3.03E+16,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_00000000000000000000,3.26E+07,2.93E+10,2.93E+16,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_00000000000000000000,3.35E+07,3.02E+10,3.02E+16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_00000000000000000000,3.16E+07,2.85E+10,2.85E+16,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_00000000000000000000,3.28E+07,2.95E+10,2.95E+16,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_00000000000000000000,3.07E+07,2.76E+10,2.76E+16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_00000000000000000000,3.30E+07,2.97E+10,2.97E+16,"{""type"":""MultiPoint"",""coordinates"":[]}"
