system:index,0_cumulative_cost,10_cumulative_cost,11_cumulative_cost,12_cumulative_cost,13_cumulative_cost,14_cumulative_cost,15_cumulative_cost,16_cumulative_cost,17_cumulative_cost,18_cumulative_cost,19_cumulative_cost,1_cumulative_cost,20_cumulative_cost,21_cumulative_cost,22_cumulative_cost,23_cumulative_cost,24_cumulative_cost,25_cumulative_cost,26_cumulative_cost,27_cumulative_cost,28_cumulative_cost,29_cumulative_cost,2_cumulative_cost,30_cumulative_cost,31_cumulative_cost,32_cumulative_cost,33_cumulative_cost,34_cumulative_cost,35_cumulative_cost,36_cumulative_cost,37_cumulative_cost,38_cumulative_cost,39_cumulative_cost,3_cumulative_cost,40_cumulative_cost,41_cumulative_cost,42_cumulative_cost,43_cumulative_cost,44_cumulative_cost,45_cumulative_cost,46_cumulative_cost,47_cumulative_cost,48_cumulative_cost,49_cumulative_cost,4_cumulative_cost,50_cumulative_cost,51_cumulative_cost,52_cumulative_cost,53_cumulative_cost,54_cumulative_cost,55_cumulative_cost,56_cumulative_cost,57_cumulative_cost,58_cumulative_cost,59_cumulative_cost,5_cumulative_cost,60_cumulative_cost,61_cumulative_cost,62_cumulative_cost,63_cumulative_cost,64_cumulative_cost,65_cumulative_cost,66_cumulative_cost,67_cumulative_cost,68_cumulative_cost,69_cumulative_cost,6_cumulative_cost,70_cumulative_cost,71_cumulative_cost,72_cumulative_cost,73_cumulative_cost,74_cumulative_cost,75_cumulative_cost,76_cumulative_cost,77_cumulative_cost,78_cumulative_cost,79_cumulative_cost,7_cumulative_cost,80_cumulative_cost,81_cumulative_cost,82_cumulative_cost,83_cumulative_cost,8_cumulative_cost,9_cumulative_cost,Wildlife Sanctuary,Year
0,,,14.55495796,14.55495796,212.7027125,,0,0,15,,0,14.55495796,72.77478982,0,0,135,43.66487389,79.12071225,0,0,20.9008804,0,0,,0,50.01079633,,,14.55495796,20.9008804,,50.90086852,,0,0,,,14.55495796,14.55495796,,,50.90086852,0,14.55495796,,,0,14.55495796,79.12071225,0,15,62.70265307,,,0,175.4158694,134.5042951,62.70265307,91.812569,14.55495796,137.3405441,254.5040575,62.70262931,0,0,20.9008804,43.66487389,,,15,,,45,45,62.70265307,,0,0,43.66487389,122.702558,14.55495796,204.5261015,14.55495796,0,KPWS,2003
1,,,50.00536275,0,20.89947713,,14.55294281,14.55294281,14.55294281,,14.55294281,50.00536275,15,,0,15,0,14.55294281,266.2964947,62.6984433,0,14.55294281,15,14.55294281,14.55294281,14.55294281,,,0,0,,258.9996655,104.497338,14.55294281,14.55294281,,,179.1219858,0,,,14.55294281,14.55294281,15,,14.55294281,14.55294281,0,14.55294281,,14.55294281,15,,,91.80427092,62.69841949,0,15,45,135,14.55294281,14.55294281,,104.4974333,0,20.89947713,0,,135,14.55294281,0,,162.7089725,0,0,,79.11124837,80.89950094,15,43.65882843,122.6983481,134.4974452,14.55294281,43.65882843,KPWS,2003
2,,,0,14.55775124,45,,0,80.90280199,0,,0,,0,146.3196731,,0,14.55775124,15,14.55775124,0,15,14.55775124,50.01832816,50.90281383,0,0,,,0,14.55775124,,15,0,0,14.55775124,,,14.55775124,14.55775124,,,15,14.55775124,0,,,0,14.55775124,0,105,0,14.55775124,,,50.01832816,14.55775124,45,14.55775124,110.9028612,20.90282568,301.7361534,,45,15,0,,14.55775124,,0,14.55775124,0,75,92.70850071,0,15,,14.55775124,0,43.67325373,14.55775124,20.90282568,62.70848887,0,,KPWS,2003
3,,,14.55512853,0,104.5050434,,45,20.90099918,0,45,0,150.0336545,0,0,75,0,0,,,43.6653856,0,15,,14.55512853,14.55512853,0,,,50.90101106,0,,75,0,0,0,,,80.90102293,0,,,50.9009873,0,75,,,45,0,,,45,0,,,105,15,14.55512853,14.55512853,75,50.9009873,43.6653856,14.55512853,75,20.90099918,0,43.6653856,137.3420274,,0,0,0,75,110.9010348,0,14.55512853,,92.70302129,75,20.90099918,15,122.7030332,45,0,0,KPWS,2003
4,,,14.55853317,0,0,,45,0,0,,0,20.90337025,0,20.90337025,20.90337025,20.90337025,0,0,15,14.55853317,0,0,0,,0,0,,,0,0,,15,14.55853317,0,14.55853317,,,15,0,,,14.55853317,0,,,50.02043659,14.55853317,0,122.7100279,45,20.90337025,0,,,15,,0,43.6755995,50.02043659,14.55853317,0,0,,15,15,15,14.55853317,,14.55853317,0,14.55853317,,15,104.5168986,79.13750292,,45,14.55853317,14.55853317,152.7101581,,20.90337025,0,,KPWS,2004
5,,,14.55853317,50.02043659,43.6755995,,0,50.02043659,14.55853317,,14.55853317,50.02043659,14.55853317,0,,188.1305216,50.02043659,62.7101226,,0,43.6755995,43.6755995,15,384.4733314,0,75,,,14.55853317,50.02043659,,382.9978523,,0,0,,,0,45,,,0,,0,,,0,14.55853317,0,668.1712919,0,62.7101226,,,0,14.55853317,75,62.7101226,346.4043626,20.90337025,50.90338209,14.55853317,14.55853317,101.9097322,15,15,20.90337025,,188.1305216,43.6755995,0,,326.3229882,62.7101226,50.02043659,,188.1305216,,15,15,,50.02043659,14.55853317,,KPWS,2004
6,,,14.55495796,14.55495796,212.7027125,,0,0,15,,0,14.55495796,72.77478982,0,0,135,43.66487389,79.12071225,0,0,20.9008804,0,0,,0,50.01079633,,,14.55495796,20.9008804,,50.90086852,,0,0,,,14.55495796,14.55495796,,,50.90086852,0,14.55495796,,,0,14.55495796,79.12071225,0,15,62.70265307,,,0,175.4158694,134.5042951,62.70265307,91.812569,14.55495796,137.3405441,254.5040575,62.70262931,0,0,20.9008804,43.66487389,,,15,,,45,45,62.70265307,,0,0,43.66487389,122.702558,14.55495796,204.5261015,14.55495796,0,KPWS,2004
7,,,15,43.66456682,224.6687876,,0,146.3057707,15,,0,0,0,14.55485561,,160.1034117,14.55485561,20.90080912,0,0,0,14.55485561,,,15,62.70241547,,,14.55485561,15,,50.01052033,62.70241547,0,0,317.2372251,,20.90080912,0,,,110.9008448,0,0,,15,0,0,14.55485561,,15,50.90079724,,,15,101.8839893,14.55485561,15,20.90080912,15,248.1074959,91.81209256,43.66456682,15,0,15,20.90080912,,0,0,,,72.77427804,0,20.90080912,,165,14.55485561,15,,170.9008685,220.9425699,0,0,KPWS,2004
8,,,0,0,92.70469522,,0,0,14.55596386,,0,14.55596386,0,14.55596386,341.1327858,75,0,92.70469522,14.55596386,0,0,0,,0,0,0,,,0,0,,15,0,0,45,,,15,14.55596386,,50.01350862,0,0,,,15,0,20.9015809,,,14.55596386,14.55596386,,,14.55596386,14.55596386,45,15,45,15,92.70469522,104.5079519,0,15,0,15,0,,0,20.9015809,,,20.9015809,92.70469522,20.9015809,,20.9015809,14.55596386,101.891747,350.0937378,20.9015809,15,14.55596386,,KPWS,2004
9,,,0,0,104.507857,,0,0,14.55596386,,0,0,0,0,370.2447136,80.90155716,0,104.507857,0,0,14.55596386,0,,0,0,0,,,0,0,,20.9015809,0,0,45,,,15,15,,45,0,0,,,14.55596386,0,50.01350862,,,0,0,,,0,43.66789158,50.90156903,20.9015809,50.90159276,14.55596386,104.507857,133.6198797,0,14.55596386,0,20.9015809,0,,0,43.66789158,,,14.55596386,104.507857,15,,15,0,131.0036747,320.9819124,15,15,0,,KPWS,2004
