system:index,0_cumulative_cost,10_cumulative_cost,11_cumulative_cost,12_cumulative_cost,13_cumulative_cost,14_cumulative_cost,15_cumulative_cost,16_cumulative_cost,17_cumulative_cost,18_cumulative_cost,19_cumulative_cost,1_cumulative_cost,20_cumulative_cost,21_cumulative_cost,22_cumulative_cost,23_cumulative_cost,24_cumulative_cost,25_cumulative_cost,26_cumulative_cost,27_cumulative_cost,28_cumulative_cost,29_cumulative_cost,2_cumulative_cost,30_cumulative_cost,31_cumulative_cost,32_cumulative_cost,33_cumulative_cost,34_cumulative_cost,35_cumulative_cost,36_cumulative_cost,37_cumulative_cost,38_cumulative_cost,39_cumulative_cost,3_cumulative_cost,40_cumulative_cost,41_cumulative_cost,42_cumulative_cost,43_cumulative_cost,44_cumulative_cost,45_cumulative_cost,46_cumulative_cost,47_cumulative_cost,48_cumulative_cost,49_cumulative_cost,4_cumulative_cost,50_cumulative_cost,51_cumulative_cost,52_cumulative_cost,53_cumulative_cost,54_cumulative_cost,55_cumulative_cost,56_cumulative_cost,57_cumulative_cost,58_cumulative_cost,59_cumulative_cost,5_cumulative_cost,60_cumulative_cost,61_cumulative_cost,62_cumulative_cost,63_cumulative_cost,64_cumulative_cost,65_cumulative_cost,66_cumulative_cost,67_cumulative_cost,68_cumulative_cost,69_cumulative_cost,6_cumulative_cost,70_cumulative_cost,71_cumulative_cost,72_cumulative_cost,73_cumulative_cost,74_cumulative_cost,75_cumulative_cost,76_cumulative_cost,77_cumulative_cost,78_cumulative_cost,79_cumulative_cost,7_cumulative_cost,80_cumulative_cost,81_cumulative_cost,82_cumulative_cost,83_cumulative_cost,8_cumulative_cost,9_cumulative_cost,.geo
0,,,14.556219418475662,0.0,50.014197704520654,,50.90174700424207,0.0,20.90175886756933,,0.0,0.0,0.0,20.90175886756933,208.26728857498776,50.014197704520654,0.0,50.90174700424207,44.999999999920526,44.999999999964786,0.0,0.0,108.23907537842331,,74.99999999991181,0.0,,,0.0,0.0,,191.84585897437933,14.556219418475662,0.0,14.556219418475662,,,166.46395305232596,0.0,,,44.999999999964786,0.0,0.0,,,20.90175886756933,14.556219418475662,0.0,,79.12663654147198,14.556219418475662,,,0.0,14.99999999997351,0.0,20.90175886756933,208.26728857498776,137.35151421537464,79.12663654147198,44.999999999964786,,14.99999999997351,0.0,14.99999999997351,146.31220530230414,,162.7334882777531,14.556219418475662,0.0,208.26728857498776,122.70531219133773,62.70528846579691,14.99999999997351,0.0,137.35151421537464,72.7810970923783,14.556219418475662,92.705229149309,,62.70528846579691,0.0,14.556219418475662,"{""type"":""Point"",""coordinates"":[105.12190522725676,13.971915365464001]}"
1,,,15.000000000017767,43.65184408908534,49.99908545602614,,110.89782025912862,15.000000000017767,15.000000000017767,,0.0,0.0,15.000000000017767,74.99999999995606,,278.0801913674614,49.99908545602614,80.89783219406789,,14.550614696361778,50.89784412882206,0.0,,0.0,15.000000000017767,164.48935192085517,,,15.000000000017767,20.89785606330258,,62.69358012417513,,0.0,0.0,,,0.0,134.9999999999829,,,0.0,49.99908545602614,,,,0.0,0.0,20.89785606330258,49.99908545602614,45.000000000053305,108.20154424147324,,,45.000000000009045,79.10031484874969,220.89387589814345,75.00000000008885,182.69362785909757,45.000000000009045,295.503117148741,62.69358012417513,0.0,45.000000000053305,15.000000000017767,49.99908545602614,575.3761608462531,,,50.89784412882206,,,14.550614696361778,50.8978679976055,149.9972683023458,,20.89785606330258,0.0,43.65184408908534,334.6641380163209,20.89785606330258,319.8767508453588,20.89785606330258,20.89785606330258,"{""type"":""Point"",""coordinates"":[104.93853626157595,14.060215632664768]}"
2,104.53521184235018,0.0,0.0,176.3491742105361,346.4871491300104,,20.90705178128225,108.28996378755744,91.84880444505498,,20.90705178128225,14.563818667712532,20.90705178128225,315.0000000000633,,20.90705178128225,233.7318645437448,162.79035138702483,43.691456003137596,133.66294330471985,250.1730607040368,62.721143577877896,20.90705178128225,20.90705178128225,72.81909333856265,101.94673067398772,14.99999999997351,,0.0,20.90705178128225,,14.563818667712532,0.0,14.99999999997351,20.90705178128225,284.5348588416193,,20.90705178128225,50.03468911670731,375.61461755288315,14.99999999997351,20.90705178128225,14.99999999997351,62.721143577877896,,,80.90702824905293,80.90707531258198,,14.563818667712532,104.53530596929478,91.84874713208129,,,80.90707531258198,137.4176011229825,50.90704001526042,375.61461755288315,14.99999999997351,80.90707531258198,50.90704001526042,375.61461755288315,14.563818667712532,20.90705178128225,20.90705178128225,375.61461755288315,80.90702824905293,0.0,14.99999999997351,50.90704001526042,14.563818667712532,14.99999999997351,44.999999999964786,191.91821797556997,375.61461755288315,,50.90704001526042,20.90705178128225,50.90704001526042,80.90702824905293,14.99999999997351,80.90707531258198,50.03468911670731,14.563818667712532,"{""type"":""Point"",""coordinates"":[104.81028732598473,13.85095784490326]}"
3,,,0.0,0.0,15.000000000017767,,15.000000000017767,0.0,0.0,,0.0,,0.0,20.905567557530926,20.905567557530926,79.1523192131495,0.0,20.905567557530926,79.1523192131495,0.0,0.0,15.000000000017767,20.905567557530926,14.561687913904644,0.0,0.0,,,0.0,0.0,,72.80843956952322,0.0,0.0,0.0,15.000000000017767,,0.0,0.0,,,0.0,0.0,50.02894338534021,,,0.0,0.0,15.000000000017767,,0.0,0.0,,,0.0,15.000000000017767,0.0,62.71669087923412,140.90552038275737,79.1523192131495,0.0,0.0,79.1523192131495,15.000000000017767,0.0,45.000000000053305,134.52789675262449,,14.561687913904644,0.0,20.905567557530926,,0.0,0.0,50.02894338534021,0.0,79.1523192131495,15.000000000017767,0.0,14.561687913904644,15.000000000017767,131.05519122514178,0.0,0.0,"{""type"":""Point"",""coordinates"":[105.34386782439006,13.884982572388948]}"
4,91.80970796474634,,0.0,79.11742633156722,79.11742633156722,0.0,0.0,0.0,14.554258291800844,,0.0,146.30264515490296,0.0,189.205357793411,0.0,0.0,80.90036938755722,14.554258291800844,,0.0,0.0,14.554258291800844,0.0,0.0,0.0,0.0,,,0.0,0.0,,20.900393164363837,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,20.900393164363837,,,0.0,0.0,0.0,72.77129145900422,0.0,179.135097363582,,,14.554258291800844,14.554258291800844,0.0,137.3344594987706,0.0,0.0,182.7012389311519,110.90042882794697,,0.0,0.0,92.70113193973398,14.554258291800844,,0.0,0.0,0.0,0.0,0.0,0.0,195.551492665974,146.3028591419082,0.0,0.0,146.30264515490296,224.6600092495757,,0.0,0.0,0.0,"{""type"":""Point"",""coordinates"":[105.30907433952788,14.002755816131485]}"
5,266.58497555507444,,20.905768011375006,50.905779800857026,495.8278988660378,,20.905768011375006,0.0,206.3405057608472,,14.561975695107357,0.0,14.561975695107357,15.000000000017767,379.3310686428056,146.3404821834614,134.52889900337067,,421.14225130876525,20.905768011375006,247.55358681682503,229.9631533768817,,,0.0,15.000000000017767,,,20.905768011375006,14.561975695107357,,45.000000000053305,104.52888721441187,20.905768011375006,152.7171861348898,0.0,,104.99999999999159,92.71732761280441,,,15.000000000017767,,0.0,,,80.90579159008993,162.7767899948413,62.717292244461184,450.2660672892839,14.561975695107357,15.000000000017767,,,14.561975695107357,,14.561975695107357,20.905768011375006,15.000000000017767,108.27762218201914,20.905768011375006,80.90574443190104,246.40000351077833,20.905768011375006,14.561975695107357,14.561975695107357,296.34054112531743,,146.3404821834614,20.905768011375006,0.0,,271.7754085558673,0.0,0.0,,0.0,,14.561975695107357,0.0,,50.029719401589716,110.90580337904873,175.4641198054412,"{""type"":""Point"",""coordinates"":[105.04479337336277,13.880416091249312]}"
6,72.8486368268725,,50.05062293106424,122.73353966837072,110.91113313093197,,596.378457913695,301.8446137931973,696.2544181236607,217.3396472728861,122.73353966837072,,79.19007766181323,14.569727365374499,2547.450945815969,15.000000000017767,217.3396472728861,,251.11351401478967,204.65719206704122,45.000000000053305,146.37807219460774,75.00000000008885,415.4887137611706,50.91117988971367,45.000000000009045,175.51777089063663,,50.91117988971367,50.05062293106424,,667.1149633929117,45.000000000053305,371.9453898583669,50.91117988971367,15.000000000017767,,80.91119157883767,45.000000000009045,,20.911168200315245,50.91117988971367,,0.0,,,110.91120326777576,79.19007766181323,427.31315428964325,,80.91119157883767,131.1275462883705,,,492.27614050074703,92.73352797943264,50.91117988971367,62.733492911333435,14.569727365374499,266.70944114165275,110.91113313093197,,,74.99999999995606,188.20070082997728,1109.333103675643,363.03624980750925,,20.911168200315245,176.37829429432043,15.000000000017767,0.0,80.91119157883767,405.0000000001256,,,50.05062293106424,290.91106298607997,75.00000000008885,,236.3778267022815,20.911168200315245,122.73342277264243,,"{""type"":""Point"",""coordinates"":[104.8971068820817,13.756565973311483]}"
7,43.73407764717573,104.58480126349298,0.0,14.57802588239191,91.90685991248941,,152.7507371474131,0.0,62.750864544661596,,230.91686991386857,,0.0,0.0,283.32141687090683,312.4774686356906,14.57802588239191,14.57802588239191,104.58480126349298,266.8429710942056,20.91695098785245,91.90691630944542,,20.91695098785245,20.91695098785245,0.0,,0.0,20.91695098785245,50.07300275263627,,,91.90691630944542,50.91696256899223,50.07300275263627,62.750864544661596,,20.91695098785245,20.91695098785245,,247.8264400006625,110.9169162432114,,,,,50.916939406534006,0.0,20.91695098785245,79.2290545174201,79.2290545174201,80.91697414985725,,,110.91698573053603,50.07300275263627,14.57802588239191,0.0,104.58480126349298,15.000000000017767,45.000000000009045,43.73407764717573,,50.07300275263627,43.73407764717573,,266.8429710942056,,15.000000000017767,14.57802588239191,43.73407764717573,,110.91698573053603,50.07300275263627,45.000000000053305,212.75092244710405,15.000000000017767,254.16536510612303,43.73407764717573,15.000000000017767,20.91695098785245,15.000000000017767,14.57802588239191,14.57802588239191,"{""type"":""Point"",""coordinates"":[104.98916023615114,13.6225218451321]}"
8,15.000000000017767,0.0,43.64911741562017,72.74852902603362,146.28045514437267,,149.9899164880526,15.000000000017767,194.99999999987693,15.000000000017767,15.000000000017767,0.0,122.69170554746597,14.549705805206724,,20.89722323703796,20.89722323703796,20.89722323703796,714.2213954395065,15.000000000017767,266.38729883179445,74.9999999998233,49.9966348474514,440.89739045775934,15.000000000017767,0.0,,,14.549705805206724,62.691681656812236,,137.29486967869175,80.89719934493468,370.0901625619993,14.549705805206724,43.64911741562017,,218.0752122071717,72.74852902603362,14.549705805206724,,49.9966348474514,20.89722323703796,0.0,,,20.89722323703796,225.00000000008947,108.1954580682783,480.14029157182176,80.89719934493468,43.64911741562017,137.29486967869175,,130.94735224686053,45.000000000053305,92.69169360221576,20.89722323703796,20.89722323703796,15.000000000017767,0.0,0.0,,20.89722323703796,14.549705805206724,72.74852902603362,14.549705805206724,,15.000000000017767,15.000000000017767,20.89722323703796,,20.89722323703796,15.000000000017767,75.00000000008885,,0.0,135.00000000011565,15.000000000017767,62.691681656812236,,45.000000000053305,152.6917174926128,208.1887397088795,"{""type"":""Point"",""coordinates"":[104.50183798067214,14.074517979843353]}"
9,,,20.900963546048523,50.011118279683586,343.5150470512549,,271.71209848429334,0.0,248.10826805572117,,122.70280749217781,603.1040582187499,0.0,50.011118279683586,108.23142774695373,254.50447325725898,122.70292627041184,104.99999999994735,253.782201415129,140.90101105528052,44.999999999920526,133.61485672572303,135.0000000000714,,62.70287876032587,50.011118279683586,,,122.70292627041184,79.12127301331866,,204.52716118732923,110.90099917826181,110.90099917826181,43.6652321004526,,,317.24136014200883,0.0,,,140.90101105528052,14.99999999997351,288.1312054083738,,,140.90101105528052,44.999999999920526,248.10826805572117,344.99999999983334,134.9999999999829,50.90097542362993,,,162.72494323273105,20.900963546048523,92.70291439317606,206.30687547387942,220.9454841751351,104.99999999994735,74.99999999991181,72.77538683408767,162.72494323273105,140.90101105528052,79.12127301331866,259.02028621622645,379.9096487211725,122.70292627041184,92.70284312656496,14.99999999997351,120.92312000161297,,220.9451162467471,50.90097542362993,92.70291439317606,,44.999999999964786,75.00000000000033,74.99999999991181,14.99999999997351,,14.99999999997351,44.999999999920526,259.9101713921433,"{""type"":""Point"",""coordinates"":[105.16668861080417,13.989744664307521]}"
